Date,Open,High,Low,Close,Volume,Dividend,SharePrice,OfficialClose,Symbol,Currency,Source,OHLC_Status
2023-01-02,395.0,395.0,380.0,380,3490964,0,380,380,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-03,380.0,380.0,380.0,380,20596,0,380,380,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-04,380.0,395.0,380.0,395,104290,0,395,395,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-05,395.0,395.0,395.0,395,30733,0,395,395,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-06,395.0,395.0,395.0,395,4067,0,395,395,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-09,395.0,395.0,395.0,395,99133,0,395,395,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-10,395.0,400.0,395.0,400,89534,0,400,400,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-11,400.0,400.0,385.0,385,3019855,0,385,385,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-13,385.0,385.0,380.0,380,551060,0,380,380,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-16,380.0,380.0,380.0,380,160711,0,380,380,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-17,380.0,380.0,380.0,380,1670776,0,380,380,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-18,380.0,380.0,380.0,380,4504,0,380,380,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-19,380.0,380.0,380.0,380,496343,0,380,380,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
2023-01-20,380.0,380.0,380.0,380,1999184,0,380,380,CRDB,TZS,CRDB Bank Share Price Tracker,Open/High/Low derived from consecutive Close values
