Date,Open,High,Low,Close,Volume
2018-01-02,2470,2480,2460,2460,32457
2018-01-03,2460,2490,2420,2460,23066
2018-01-04,2450,2470,2440,2460,57886
2018-01-05,2480,2490,2460,2460,37326
2018-01-08,2450,2490,2440,2470,103822
2018-01-09,2450,2500,2420,2470,116180
2018-01-10,2480,2500,2460,2480,33135
2018-01-11,2490,2500,2470,2480,66691
2018-01-12,2460,2500,2440,2480,35418
2018-01-15,2500,2530,2460,2480,52441
2018-01-16,2480,2520,2460,2490,19910
2018-01-17,2470,2530,2430,2490,28140
2018-01-18,2480,2510,2450,2490,15307
2018-01-19,2490,2520,2470,2500,14451
2018-01-22,2510,2520,2490,2500,47636
2018-01-23,2490,2520,2480,2500,43090
2018-01-24,2480,2510,2480,2510,45707
2018-01-25,2500,2540,2480,2510,12776
2018-01-26,2510,2520,2500,2510,9077
2018-01-29,2530,2560,2500,2510,128840
2018-01-30,2500,2530,2490,2520,35212
2018-01-31,2520,2540,2500,2520,20335
2018-02-01,2520,2570,2480,2530,36316
2018-02-02,2520,2550,2510,2530,18394
2018-02-05,2520,2550,2510,2530,20907
2018-02-06,2520,2550,2500,2530,96435
2018-02-07,2520,2560,2500,2540,34743
2018-02-08,2540,2560,2520,2540,7019
2018-02-09,2550,2570,2520,2540,17604
2018-02-12,2560,2580,2510,2540,41569
2018-02-13,2540,2560,2520,2540,76473
2018-02-14,2530,2590,2500,2540,19891
2018-02-15,2530,2550,2520,2540,34891
2018-02-16,2550,2560,2530,2540,42452
2018-02-19,2520,2570,2500,2550,50892
2018-02-20,2560,2590,2520,2550,17651
2018-02-21,2540,2570,2530,2550,16222
2018-02-22,2530,2560,2520,2550,32151
2018-02-23,2570,2580,2530,2540,7488
2018-02-26,2540,2560,2520,2540,140240
2018-02-27,2560,2590,2510,2540,50740
2018-02-28,2540,2560,2530,2540,29554
2018-03-01,2530,2560,2510,2540,233423
2018-03-02,2530,2560,2510,2540,38411
2018-03-05,2530,2570,2500,2540,30203
2018-03-06,2560,2570,2530,2540,41896
2018-03-07,2540,2540,2540,2540,44817
2018-03-08,2530,2570,2510,2540,70607
2018-03-09,2550,2560,2530,2540,150112
2018-03-12,2560,2570,2530,2540,55680
2018-03-13,2540,2540,2540,2540,134457
2018-03-14,2560,2580,2510,2540,64167
2018-03-15,2560,2570,2510,2530,17667
2018-03-16,2520,2540,2510,2530,172213
2018-03-19,2550,2560,2530,2540,10219
2018-03-20,2530,2550,2520,2530,97027
2018-03-21,2540,2540,2530,2530,27619
2018-03-22,2530,2560,2500,2520,13452
2018-03-23,2520,2530,2520,2520,36461
2018-03-26,2530,2560,2500,2520,59616
2018-03-27,2520,2560,2490,2520,25921
2018-03-28,2510,2540,2490,2520,41907
2018-03-29,2510,2520,2500,2510,31735
2018-03-30,2510,2520,2500,2510,88159
2018-04-02,2520,2550,2480,2510,105828
2018-04-03,2510,2530,2490,2500,37531
2018-04-04,2490,2500,2490,2500,39166
2018-04-05,2500,2520,2480,2500,48905
2018-04-06,2510,2540,2480,2500,128239
2018-04-09,2510,2510,2500,2500,60105
2018-04-10,2500,2530,2470,2490,24862
2018-04-11,2490,2510,2480,2490,42955
2018-04-12,2500,2530,2460,2490,34749
2018-04-13,2490,2520,2470,2490,64331
2018-04-16,2490,2520,2450,2480,18407
2018-04-17,2480,2500,2470,2480,21178
2018-04-18,2480,2500,2460,2480,32144
2018-04-19,2460,2520,2430,2480,30437
2018-04-20,2480,2520,2440,2470,45123
2018-04-23,2490,2510,2450,2470,42505
2018-04-24,2470,2480,2460,2470,22679
2018-04-25,2460,2480,2440,2460,42942
2018-04-26,2470,2480,2450,2460,54237
2018-04-27,2460,2470,2460,2460,13509
2018-04-30,2450,2460,2440,2450,91428
2018-05-01,2440,2470,2420,2450,43553
2018-05-02,2430,2470,2410,2450,22894
2018-05-03,2430,2450,2430,2450,114800
2018-05-04,2440,2460,2430,2450,57584
2018-05-07,2470,2480,2450,2450,46331
2018-05-08,2450,2450,2450,2450,76098
2018-05-09,2430,2480,2400,2450,8411
2018-05-10,2450,2470,2440,2450,10996
2018-05-11,2450,2490,2410,2450,13490
2018-05-14,2440,2470,2430,2450,7677
2018-05-15,2450,2480,2440,2450,62113
2018-05-16,2460,2470,2440,2450,19523
2018-05-17,2430,2490,2400,2450,18173
2018-05-18,2450,2460,2440,2450,20879
2018-05-21,2450,2460,2440,2450,26945
2018-05-22,2440,2460,2430,2450,47751
2018-05-23,2440,2460,2430,2450,24087
2018-05-24,2450,2490,2420,2450,32864
2018-05-25,2450,2460,2440,2450,35194
2018-05-28,2450,2480,2430,2450,23809
2018-05-29,2460,2480,2430,2450,27623
2018-05-30,2470,2480,2440,2450,61662
2018-05-31,2450,2480,2430,2450,12362
2018-06-01,2440,2490,2400,2450,14830
2018-06-04,2450,2480,2420,2450,10703
2018-06-05,2430,2490,2410,2450,22397
2018-06-06,2440,2480,2420,2450,31990
2018-06-07,2450,2470,2430,2450,8471
2018-06-08,2440,2460,2430,2450,58881
2018-06-11,2450,2470,2430,2450,155575
2018-06-12,2440,2490,2400,2460,39584
2018-06-13,2450,2490,2420,2460,34472
2018-06-14,2450,2480,2440,2470,33733
2018-06-15,2480,2500,2450,2470,49641
2018-06-18,2480,2510,2450,2470,13794
2018-06-19,2470,2500,2460,2470,24259
2018-06-20,2460,2500,2440,2470,21816
2018-06-21,2470,2490,2450,2470,10323
2018-06-22,2480,2490,2470,2480,86483
2018-06-25,2470,2500,2460,2480,51953
2018-06-26,2480,2500,2470,2490,25243
